Dim_1,Dim_2,label
14.242209434509277,68.0333480834961,SVA
-46.33845901489258,-30.010740280151367,ERVK
28.20075225830078,-61.50397491455078,TcMar-Tigger
12.939536094665527,76.78317260742188,SVA
-18.410980224609375,-56.62364196777344,hAT-Blackjack
-8.932535171508789,-42.51915740966797,hAT-Tip100
-26.23094367980957,-60.59920120239258,hAT-Charlie
-41.537837982177734,41.11092758178711,TcMar-Tigger
49.456565856933594,-45.64927673339844,DNA
5.691900253295898,-64.64411163330078,CR1
57.376346588134766,-6.47304630279541,PiggyBac
54.872032165527344,-10.0504732131958,hAT-Charlie
33.7978515625,-27.903532028198242,hAT-Tip100
-68.05581665039062,-16.35528564453125,ERVK
-8.537174224853516,-23.800634384155273,ERV1
-61.80110549926758,27.276336669921875,ERV1
26.272480010986328,-29.963970184326172,TcMar-Tigger
-53.12625503540039,18.78863525390625,PiggyBac
-8.014033317565918,-58.214866638183594,hAT-Charlie
50.5009765625,7.742366790771484,CR1
-66.96534729003906,-16.058029174804688,ERVK
-9.467267036437988,-8.14999008178711,TcMar-Tigger
-33.51314926147461,-37.8243293762207,hAT-Blackjack
7.769871234893799,32.66583251953125,Alu
-6.427586078643799,6.266086578369141,srpRNA
28.06852912902832,71.77448272705078,SVA
25.64082908630371,68.74642944335938,SVA
-2.670482873916626,-20.451574325561523,hAT-Charlie
57.492366790771484,2.501173973083496,TcMar-Mariner
65.20942687988281,-23.566431045532227,PiggyBac
12.729263305664062,-66.04853820800781,PiggyBac
-34.65177536010742,-36.96822738647461,PiggyBac
33.11699295043945,-60.9311408996582,PiggyBac
-48.66238784790039,24.03013801574707,hAT-Tip100
-7.809466361999512,-59.11573028564453,hAT-Blackjack
28.060195922851562,69.68785095214844,SVA
-57.89814376831055,27.493545532226562,Dong-R4
21.772140502929688,-43.796142578125,hAT-Tip100
17.005834579467773,23.760391235351562,Alu
-29.66920280456543,-61.057865142822266,hAT-Blackjack
41.220428466796875,-51.838191986083984,DNA
28.232297897338867,2.2739062309265137,TcMar-Mariner
-11.161397933959961,68.77713775634766,TcMar-Mariner
-4.252516746520996,-26.879348754882812,DNA
-30.801687240600586,-56.70242691040039,ERV1
36.72858428955078,-56.764671325683594,hAT-Tip100
-63.437442779541016,-27.19556427001953,ERVK
44.78917694091797,9.23436164855957,DNA
-57.52149200439453,24.935749053955078,hAT-Blackjack
-10.762714385986328,77.26132202148438,TcMar-Mariner
-34.27460861206055,-61.82646942138672,TcMar-Tigger
-32.299652099609375,-33.962547302246094,ERVK
12.048892974853516,-0.7296244502067566,TcMar-Tigger
-14.95802116394043,7.421229839324951,TcMar-Tigger
26.633268356323242,-37.40093231201172,ERV1
-42.566749572753906,-56.04559326171875,hAT-Charlie
20.515087127685547,-29.20444107055664,hAT-Tip100
1.599387764930725,36.11198043823242,Alu
-49.655033111572266,-30.00225257873535,TcMar-Tigger
0.9740378260612488,-50.43340301513672,hAT-Charlie
14.112874031066895,-13.444222450256348,TcMar-Tigger
-46.784549713134766,7.552736282348633,ERV1
56.76115798950195,-1.922598958015442,hAT-Blackjack
15.501606941223145,-42.91070556640625,hAT-Charlie
-41.44407653808594,-58.09885787963867,hAT-Blackjack
65.87380981445312,-19.844636917114258,TcMar-Tigger
18.82195281982422,-64.01377868652344,TcMar-Tigger
34.207794189453125,-1.142066240310669,hAT-Charlie
-3.6180830001831055,69.73848724365234,SVA
41.197139739990234,-32.3078498840332,hAT-Charlie
-31.085134506225586,29.067537307739258,PiggyBac
-23.533967971801758,30.976402282714844,CR1
-7.964250087738037,85.8724365234375,TcMar-Mariner
-50.74382400512695,-43.828067779541016,DNA
-35.71358108520508,-42.01477813720703,hAT-Tip100
3.0892016887664795,13.667266845703125,srpRNA
36.49763107299805,2.735466718673706,hAT-Charlie
42.85633087158203,-0.852759063243866,TcMar-Tigger
-52.8797607421875,11.071393013000488,CR1
40.75416564941406,-7.947856903076172,TcMar-Mariner
-47.26227951049805,15.85583209991455,TcMar-Tigger
-6.464858531951904,6.342657089233398,srpRNA
7.103707313537598,-61.72164535522461,CR1
32.23878479003906,-51.48967742919922,hAT-Tip100
-69.9074935913086,6.289551734924316,telo
-36.0804557800293,-39.844749450683594,PiggyBac
15.544037818908691,0.13265380263328552,ERVK
-24.982261657714844,26.37513542175293,ERVK
-23.556514739990234,34.856224060058594,ERVK
-33.80649948120117,26.32785415649414,ERVK
37.33126449584961,62.69676971435547,SVA
41.8487663269043,68.74372863769531,SVA
37.47277069091797,63.9482421875,SVA
-37.98580551147461,-39.256038665771484,hAT-Tip100
36.489192962646484,68.66351318359375,SVA
66.10942077636719,-27.796707153320312,ERVK
42.125667572021484,2.668627977371216,hAT-Charlie
-45.181270599365234,14.763495445251465,CR1
-16.139488220214844,74.78874969482422,TcMar-Tigger
-48.97880554199219,-28.624481201171875,hAT-Charlie
-16.379785537719727,-69.59661102294922,hAT-Blackjack
20.356443405151367,-64.57049560546875,hAT-Charlie
-27.703474044799805,41.44146728515625,ERV1
28.22322654724121,69.59906005859375,SVA
-24.387866973876953,60.96909713745117,telo
10.311431884765625,-22.255002975463867,hAT-Blackjack
58.75982666015625,-25.1513671875,TcMar-Tigger
17.853586196899414,-30.412139892578125,hAT-Tip100
43.90121078491211,3.370256185531616,hAT-Tip100
-45.16311264038086,-32.67409896850586,hAT-Tip100
39.0645751953125,-31.256633758544922,hAT-Charlie
31.884939193725586,67.82738494873047,SVA
-59.33847427368164,30.052555084228516,PiggyBac
-10.515507698059082,74.20476531982422,ERVK
38.871551513671875,68.97307586669922,SVA
